date,data
06/10/2023,325.994293
09/10/2023,328.544373
10/10/2023,327.119934
11/10/2023,331.134338
12/10/2023,329.879181
13/10/2023,326.462463
16/10/2023,331.353455
17/10/2023,330.775726
18/10/2023,328.833252
19/10/2023,330.038574
20/10/2023,325.406586
23/10/2023,328.046295
24/10/2023,329.251617
25/10/2023,339.352417
26/10/2023,326.621857
27/10/2023,328.534424
30/10/2023,336.005402
31/10/2023,336.802307
01/11/2023,344.731537
02/11/2023,346.972839
03/11/2023,351.435486
06/11/2023,355.151093
07/11/2023,359.13562
08/11/2023,361.795288
09/11/2023,359.294983
10/11/2023,368.240265
13/11/2023,365.26181
14/11/2023,368.837891
15/11/2023,368.987671
16/11/2023,375.475677
17/11/2023,369.167328
20/11/2023,376.743317
21/11/2023,372.381378
22/11/2023,377.152557
24/11/2023,376.733307
27/11/2023,377.911133
28/11/2023,381.993622
29/11/2023,378.150696
30/11/2023,378.210602
01/12/2023,373.818726
04/12/2023,368.458649
05/12/2023,371.832367
06/12/2023,368.119232
07/12/2023,370.265289
08/12/2023,373.539246
11/12/2023,370.614624
12/12/2023,373.688965
13/12/2023,373.678955
14/12/2023,365.254547
15/12/2023,370.045715
18/12/2023,371.962128
19/12/2023,372.571045
20/12/2023,369.935883
21/12/2023,372.850525
22/12/2023,373.88858
26/12/2023,373.968445
27/12/2023,373.379547
28/12/2023,374.58728
29/12/2023,375.345886
02/01/2024,370.185425
03/01/2024,369.915924
04/01/2024,367.260834
05/01/2024,367.071198
08/01/2024,373.998383
09/01/2024,375.096375
10/01/2024,382.063446
11/01/2024,383.920044
12/01/2024,387.75296
16/01/2024,389.549622
17/01/2024,388.751099
18/01/2024,393.142975
19/01/2024,397.934143
22/01/2024,395.778107
23/01/2024,398.163696
24/01/2024,401.816925
25/01/2024,404.122681
26/01/2024,403.184418
29/01/2024,408.963715
30/01/2024,407.835815
31/01/2024,396.84613
01/02/2024,403.034698
02/02/2024,410.460968
05/02/2024,404.901245
06/02/2024,404.741516
07/02/2024,413.285706
08/02/2024,413.345612
09/02/2024,419.773712
12/02/2024,414.4935
13/02/2024,405.570007
14/02/2024,409.48999
15/02/2024,406.559998
16/02/2024,404.059998
20/02/2024,402.790009
21/02/2024,402.179993
22/02/2024,411.649994
23/02/2024,410.339996
26/02/2024,407.540009
27/02/2024,407.480011
28/02/2024,407.720001
29/02/2024,413.640015
01/03/2024,415.5
04/03/2024,414.920013
05/03/2024,402.649994
06/03/2024,402.089996
07/03/2024,409.140015
08/03/2024,406.220001
11/03/2024,404.519989
12/03/2024,415.279999
13/03/2024,415.100006
14/03/2024,425.220001
15/03/2024,416.420013
18/03/2024,417.320007
19/03/2024,421.410004
20/03/2024,425.230011
21/03/2024,429.369995
22/03/2024,428.73999
25/03/2024,422.859985
26/03/2024,421.649994
27/03/2024,421.429993
28/03/2024,420.720001
01/04/2024,424.570007
02/04/2024,421.440002
03/04/2024,420.450012
04/04/2024,417.880005
05/04/2024,425.519989
08/04/2024,424.589996
